Name,Play
Jack Pistner,stole second.
Tyler Lizell,to p for I. Gannaway.
Jack Pistner,walked.
Jack Pistner,grounded out to 2b.
Jack Pistner,flied out to lf.
Jack Pistner,flied out to lf.
Jack Pistner,struck out swinging.
Jack Pistner,struck out swinging.
Tyler Lizell,to p for A. Weinbrum.
Jack Pistner,pinch hit for P. Toothman.
Jack Pistner,grounded out to p.
Jack Pistner,to 2b.
Jack Pistner,reached on a fielder's choice; D. Preziuso advanced to second on a throwing error by 1b; M. Seibert advanced to third.
Tyler Lizell,to p for P. Clementi.
Jack Pistner,grounded out to 2b.
Jack Pistner,"grounded out to 3b, RBI; A. Decker scored."
Henry Smith,doubled to right center (2-2).
Henry Smith,struck out looking (0-2).
Henry Smith,grounded out to 2b (2-2).
Henry Smith,flied out to lf (3-1).
Henry Smith,flied out to lf (2-0).
Henry Smith,grounded out to p (0-1); Runfola advanced to second.
Henry Smith,grounded out to 2b (0-0).
Henry Smith,struck out looking (2-2).
Tyler Lizell,to p for T. Torrado.
Henry Smith,flied out to cf (0-1).
Henry Smith,"grounded out to 2b, RBI (3-1); Runfola advanced to third; Genth scored."
Jack Pistner,singled to left field; A. Decker advanced to second.
Jack Pistner,grounded into double play 2b to ss to 1b; M. Seibert out on the play.
Jack Pistner,"walked, RBI; M. Seibert advanced to second; A. Decker advanced to third; T. Neels scored."
Jack Pistner,struck out swinging.
Tyler Lizell,to p for T. Torrado.
Jack Pistner,pinch hit for E. Ajewole.
Jack Pistner,"doubled down the lf line, 3 RBI; A. Decker scored; T. Neels scored; J. O'Neil scored."
Jack Pistner,to lf.
Jack Pistner,singled up the middle; A. Decker advanced to third.
Jack Pistner,flied out to cf.
Jack Pistner,grounded out to 2b.
Jack Pistner,grounded out to 1b unassisted.
Jack Pistner,singled down the lf line.
Jack Pistner,flied out to rf.
Jack Pistner,struck out looking.
Jack Pistner,"reached first on an error by lf, advanced to second on the error."
Jack Pistner,lined into double play ss to 1b; A. Decker out on the play.
Matt Nichols,pinch ran for A. Kirby.
Jack Pistner,pinch hit for M. Seibert.
Jack Pistner,grounded out to ss.
Jack Pistner,flied out to lf.
Jack Pistner,flied out to rf.
Aidan Brusey,to p for C. Sikora.
Jack Pistner,singled to center field.
Jack Pistner,"reached on a fielder's choice, RBI; M. Peipher out at second 2b to ss; K. Miller advanced to third; D. Preziuso scored."
Ryan Wootten,to p for Giammarino.
Jack Pistner,"doubled to left field, RBI; M. Peipher scored."
Jack Pistner,advanced to third on a wild pitch.
Jack Pistner,tripled to center field (2-1 BSB).
Jack Pistner,"grounded out to 1b unassisted, RBI (0-0); D. Preziuso advanced to second; J. McCloskey scored."
Jack Pistner,"tripled to center field, 3 RBI (0-1 F); D. Preziuso scored, unearned; M. Seibert scored, unearned; M. Levant scored, unearned."
Jack Pistner,walked (3-2 FBFBBB); D. Preziuso advanced to second.
Liam Gregory,to lf for D. Preziuso.
Robert Murphy,to ss for J. Pistner.
Matt Nichols,to cf for K. Miller.
Liam Gregory,singled to pitcher (1-2 KBKF); B. Anderson advanced to second; M. Levant advanced to third.
Robert Murphy,struck out swinging (2-2 KBBFFS).
Matt Nichols,grounded out to p (2-2 FBBK).
Brendan Laqui,pinch ran for P. Stasko.
Liam Gregory,walked (3-1 BBBKB); B. Anderson advanced to second; K. Clausius advanced to third.
Robert Murphy,popped up to 2b (0-2 KK).
Aidan Brusey,to 3b for B. Laqui.
Bruno Spadafora,to p for Spadaccini.
Matt Nichols,tripled to center field (0-0).
Aidan Brusey,fouled out to 1b (1-0 B).
Tyler Lizell,to p for B. Spadafora.
Zach Klein,pinch hit for L. Gregory.
Zach Klein,singled through the left side (3-2 SBSBB).
Robert Murphy,grounded out to 1b unassisted (0-1 K); Z. Klein advanced to second.
Matt Nichols,reached on a throwing error by 3b (2-1 BFB); Z. Klein advanced to third.
Aidan Brusey,struck out swinging (1-2 BKKS).
Zach Klein,to lf.
Jackson Kammen,to c for B. Anderson.
Jack Pistner,walked.
Jack Pistner,stole second; D. Preziuso stole third.
Jack Pistner,"singled, RBI; D. Preziuso scored, unearned."
Jack Pistner,hit by pitch; D. Preziuso advanced to second.
Robert Murphy,pinch ran for A. Kirby.
Robert Murphy,to ss.
Robert Murphy,"doubled, 2 RBI; J. McCloskey scored, unearned; M. Seibert scored, unearned."
Aidan Brusey,to p for C. Sikora.
Matt Nichols,to cf for E. Ajewole.
Liam Gregory,to lf for D. Preziuso.
Bruno Spadafora,to p for A. Brusey.
Bruno Spadafora,pinch hit for M. Seibert.
Bruno Spadafora,struck out looking.
Bruno Spadafora,to p.
Liam Gregory,singled to right field; B. Anderson advanced to second.
Robert Murphy,hit by pitch; L. Gregory advanced to second; B. Anderson advanced to third.
Matt Nichols,to rf for E. Ajewole.
Jack Burke,pinch hit for M. Peipher.
Jack Burke,"flied out to rf, sacrifice fly, RBI; E. Ajewole advanced to second; L. Gregory scored."
Matt Nichols,walked.
Jack Burke,to 3b.
Zach Klein,pinch hit for B. Spadafora.
Zach Klein,singled to left field.
Zach Klein,advanced to second on a balk.
Liam Gregory,grounded out to 1b unassisted; Z. Klein advanced to third.
Robert Murphy,"singled to left field, RBI; Z. Klein scored."
Jack Burke,flied out to cf.
Matt Nichols,tripled to center field.
Brendan Laqui,pinch hit for Z. Klein.
Brendan Laqui,popped up to rf.
Tyler Lizell,to p for K. Spadaccin.
Robert Murphy,flied out to lf (2-1 BSB).
Ryan Wootten,to p for J. Wheedon.
Robert Murphy,singled to center field (1-0 B).
Robert Murphy,grounded out to 1b unassisted (2-1 SBB).
Jack Burke,pinch hit for M. Levant.
Jack Burke,struck out swinging (2-2 SBBSS).
Liam Gregory,pinch hit for J. McCloskey.
Liam Gregory,"singled to shortstop, 2 RBI, advanced to second on the throw (2-2 BBSSF); P. Toothman scored, unearned; M. Peipher scored, unearned."
Zach Klein,pinch ran for L. Gregory.
Robert Murphy,"reached on a fielding error by 2b (0-0); Z. Klein scored, unearned."
Jack Burke,to 3b.
Tyler Lizell,to p for A. Dadio.
Jack Pistner,doubled through the left side; D. Preziuso advanced to third.
Robert Murphy,reached on a fielding error by rf.
Jack Pistner,flied out to cf.
Robert Murphy,grounded out to 3b; J. McCloskey advanced to third.
Jack Pistner,flied out to cf.
Robert Murphy,flied out to cf.
Jack Pistner,grounded out to 2b.
Robert Murphy,struck out swinging.
Jack Pistner,singled to right field; D. Preziuso scored.
Jack Burke,doubled to right field.
Robert Murphy,"flied out to cf, SF, RBI; J. Burke scored."
Jack Pistner,walked.
Bruno Spadafora,to p for A. Brusey.
Jack Burke,popped up to 1b.
Robert Murphy,singled to left field.
Jack Pistner,"tripled to center field, RBI; D. Preziuso scored, unearned; R. Murphy scored."
Jack Burke,grounded out to 2b.
Robert Murphy,grounded out to 1b unassisted.
Jack Pistner,doubled to center field; D. Preziuso advanced to third.
Jack Burke,flied out to cf.
Brendan Laqui,to c for A. Kirby.
Jack Burke,to 3b.
Robert Murphy,struck out swinging.
Brendan Laqui,singled to center field.
Jack Pistner,walked; D. Preziuso advanced to third on a wild pitch; B. Laqui scored on a wild pitch.
Liam Gregory,pinch hit for K. Miller.
Liam Gregory,flied out to cf.
Matt Nichols,to cf for D. Preziuso.
Zach Klein,to lf for L. Gregory.
Ryan Wootten,to p for Wilkie-Visci.
Robert Murphy,popped up to ss.
Jack Pistner,flied out to lf (1-2 SSB).
Robert Murphy,walked (1-0 B).
Jack Pistner,reached on a fielder's choice (1-2 SBS); D. Preziuso out at second ss to 2b; R. Murphy advanced to third.
Robert Murphy,"scored, unearned."
Brendan Laqui,to c for J. McCloskey.
Robert Murphy,struck out swinging (2-2 FFFBBS).
Jack Pistner,"homered, 2 RBI (1-1 BS); D. Preziuso scored."
Robert Murphy,grounded out to 3b (2-0 BB).
Jack Pistner,singled to right field (1-2 BSS); D. Preziuso advanced to second.
Robert Murphy,flied out to rf (2-1 BSB).
Jack Pistner,walked (3-2 BSBBSB).
Jack Pistner,struck out swinging; D. Preziuso stole second.
Jack Pistner,reached on an error by 1b.
Jack Pistner,popped up to 3b.
Ryan Wootten,to p for J. Wheedon.
Jack Pistner,grounded out to 1b unassisted.
Jack Burke,pinch hit for M. Levant.
Jack Burke,flied out to cf.
Jack Burke,to 3b.
Liam Gregory,to dh for J. McCloskey.
Liam Gregory,struck out swinging.
Jack Pistner,singled to right field.
Jack Pistner,singled to right field (1-1 BS); D. Preziuso advanced to second.
Jack Pistner,stole second; D. Preziuso stole third.
Jack Pistner,doubled to center field (3-1 BBBS).
Jack Pistner,grounded out to 2b (3-2 BBSFBF).
Aidan Brusey,to p for Spadaccini.
Jack Pistner,singled to second base (2-2 BSBF); J. McCloskey advanced to third.
Connor Stewart,to p for A. Brusey.
Jack Pistner,singled to center field (0-0); D. Preziuso advanced to second.
Jack Pistner,advanced to second on a wild pitch; D. Preziuso advanced to third on a wild pitch.
Matt Nichols,pinch ran for A. Kirby.
Robert Murphy,to 3b for M. Nichols.
Jack Burke,pinch hit for J. McCloskey.
Jack Burke,struck out swinging (3-2 SBSBBS).
Jack Pistner,flied out to cf (1-2 SFB).
Jack Pistner,tripled to center field (1-0 B).
Jack Pistner,grounded out to p (2-2 SBSB).
Jack Pistner,walked (3-0 BBBB).
Jack Pistner,struck out swinging (3-2 BFBBSFS).
Brendan Laqui,to c for K. Clausius.
Jack Burke,flied out to lf (0-1 F).
Jack Pistner,singled to center field (1-1 SB).
Matt Nichols,struck out swinging (0-2 SSS).
Robert Murphy,"grounded out to 2b, SAC (1-0 B); E. Ajewole advanced to third."
Jack Burke,grounded out to 2b.
Jack Pistner,grounded out to 2b (2-2 SBBF).
Matt Nichols,struck out swinging (1-2 SSBS).
Robert Murphy,grounded out to 1b unassisted (3-2 BBBSS).
Jack Burke,struck out swinging (1-2 SBFS).
Jack Pistner,singled to right field (0-1 F); B. Anderson out at third rf to c.
Matt Nichols,struck out swinging (1-2 SFBS).
Robert Murphy,grounded out to p (3-2 SSBBB).
Brendan Laqui,to c for B. Anderson.
Zach Klein,to p for J. Pistner.
Jack Burke,walked (3-0 BBBB).
Zach Klein,singled to second base (1-1 BS); J. Burke advanced to second.
Matt Nichols,grounded out to ss (0-1 S); M. Seibert advanced to third.
Robert Murphy,"reached on an error by ss (1-0 B); M. Seibert scored on the error, unearned."
Brendan Laqui,"singled to left center, RBI (0-0); A. Donlan advanced to second; R. Murphy scored, unearned."
Liam Gregory,pinch hit for K. Miller.
Liam Gregory,grounded out to 2b.
Liam Gregory,to lf.
Matt Nichols,to cf.
Jack Pistner,tripled to right field (1-2 KKFB).
Jack Pistner,flied out to rf (1-1 BK).
Jack Pistner,"singled through the left side, RBI (0-0); D. Preziuso advanced to second; J. McCloskey scored, unearned."
Jack Pistner,stole second; D. Preziuso stole third.
Jack Pistner,"singled to first base, RBI (1-2 KKFB); D. Preziuso advanced to second; J. McCloskey advanced to third; P. Toothman scored, unearned."
Bruno Spadafora,to p for Masteralexis.
Jack Pistner,grounded out to 1b unassisted (0-0).
Jack Burke,pinch hit for J. McCloskey.
Jack Burke,"flied out to lf, SF, RBI (3-2 KFBBB); T. Neels scored."
Liam Gregory,pinch hit for K. Miller.
Liam Gregory,struck out looking (3-2 BSFBFBK).
Robert Murphy,to ss for A. Angulo.
Liam Gregory,to lf.
Matt Nichols,to cf for T. Neels.
Brendan Laqui,to c for P. Toothman.
Jack Burke,to 2b.
Jack Pistner,walked (3-2 FBBKBB); D. Preziuso advanced to second.
Jack Pistner,stole second; D. Preziuso stole third.
Jack Pistner,walked (3-1 BBBKB).
Connor Stewart,to p for B. Spadafora.
Jack Pistner,grounded out to 1b unassisted (2-1 KBB).
Jack Pistner,lined out to 2b (0-1 K).
Ryan Wootten,to p for C. Stewart.
Jack Pistner,"singled to center field, RBI, advanced to second on a fielding error by cf (3-0 BBB); D. Preziuso advanced to third, scored on the error; M. Levant scored."
Jack Pistner,advanced to third on a wild pitch.
Matt Nichols,to lf for D. Preziuso.
Jack Burke,pinch hit for P. Toothman.
Jack Burke,flied out to lf (0-1 F); T. Neels advanced to third.
Liam Gregory,pinch hit for J. McCloskey.
Liam Gregory,"doubled to right field, RBI (1-1 FB); T. Neels scored."
Matt Nichols,"doubled to left field, RBI (3-1 BBBK); A. Donlan scored."
Robert Murphy,pinch hit for J. Pistner.
Robert Murphy,grounded out to 2b (0-2 KF).
Matt Nichols,to cf.
Robert Murphy,to ss.
Jack Burke,to 2b.
Liam Gregory,to lf.
Jack Pistner,walked (3-2 BBFKBB).
Jack Burke,struck out swinging (3-2 FBBBKS).
Jack Pistner,struck out looking (1-2 FBSK).
Jack Burke,struck out swinging (3-2 BBSFBS).
Jack Pistner,"singled to second base (1-2 KKB); K. Miller advanced to second, advanced to third on the error; D. Preziuso advanced to third, scored on a fielding error by 2b, unearned."
Zach Klein,to p for C. Wong.
Tyler Hillson,to p for Z. Klein.
Liam Gregory,pinch hit for J. Burke.
Liam Gregory,doubled to right field (1-0 B).
Matt Nichols,pinch hit for K. Miller.
Matt Nichols,popped up to 1b (0-0).
Matt Nichols,to cf.
Robert Murphy,to ss for J. Pistner.
Brendan Laqui,to c for T. Neels.
Liam Gregory,to lf.
Robert Murphy,walked (3-1 BBKBB); M. Seibert advanced to second.
Brendan Laqui,reached on a fielder's choice to third base (0-1 S); R. Murphy advanced to second; M. Seibert out at third 3b unassisted.
Liam Gregory,singled to left field (0-0); B. Laqui advanced to second; R. Murphy advanced to third.
Matt Nichols,struck out swinging (0-2 KSS).
Robert Murphy,walked (3-2 BKBFBFB); M. Seibert advanced to second; E. Ajewole advanced to third.
Brendan Laqui,flied out to cf (0-0).
Jack Pistner,singled through the right side (1-1 KB); K. Miller advanced to second.
Liam Gregory,struck out swinging (1-2 BSKS).
Aidan Brusey,to p for Masteralexis.
Jack Pistner,lined out to ss (0-0).
Liam Gregory,"tripled to right center, 3 RBI (3-2 KKFBBBF); T. Neels scored; M. Peipher scored; A. Kirby scored."
Liam Gregory,scored on a wild pitch.
Jack Pistner,doubled to left field (1-0 B).
Robert Murphy,to p for A Lee.
Liam Gregory,struck out swinging (0-2 SFS).
Jack Pistner,struck out looking (1-2 KBKK).
Robert Murphy,to 3b for A. Kirby.
Liam Gregory,struck out swinging (1-2 KKBFS).
Jack Pistner,out at first 1b to p (0-0).
Liam Gregory,reached on a fielder's choice to shortstop (2-2 KBBFF); M. Peipher out at second ss to 2b.
Jack Pistner,doubled to left center (1-0 B); K. Miller advanced to third.
Liam Gregory,struck out looking (0-2 FKK).
Jack Pistner,walked (3-0 BBBB).
Jack Pistner,advanced to second on a wild pitch.
Matt Nichols,pinch ran for A. Kirby.
Matt Nichols,to lf.
Jack Pistner,singled through the right side (0-0); K. Miller advanced to second.
Matt Nichols,"reached on a throwing error by 3b (1-1 KB); K. Miller scored, unearned."
Matt Nichols,stole second.
Matt Nichols,stole third.
Matt Nichols,"scored on a wild pitch, unearned."
Jack Pistner,doubled to center field (1-2 KBF).
Jack Burke,pinch ran for M. Peipher.
Zach Klein,to lf for D. Preziuso.
Jack Pistner,singled.
Jack Pistner,flied out to lf.
Connor Stewart,to p for B. Spadafora.
Ryan Wootten,to p for A. Dadio.
Jack Pistner,reached on an error by 2b.
Jack Pistner,stole second.
Liam Gregory,pinch hit for J. McCloskey.
Liam Gregory,"reached on an error by 3b; M. Levant advanced to third; P. Toothman scored, unearned."
Jack Pistner,"homered, 3 RBI; D. Preziuso scored; L. Gregory scored, unearned."
Brendan Laqui,to c for L. Gregory.
Jack Pistner,"hit by pitch, RBI; D. Preziuso advanced to second; M. Seibert advanced to third; M. Levant scored."
Jack Pistner,struck out swinging.
Zach Klein,pinch ran for A. Kirby.
Matt Nichols,to lf for D. Preziuso.
Jack Pistner,reached on a fielder's choice (2-0 BB); K. Miller out at second ss to 2b.
Jack Pistner,stole second.
Liam Gregory,grounded out to p (0-1 K).
Jack Pistner,struck out swinging (3-2 BSKBBS).
Liam Gregory,grounded out to 1b unassisted (0-0); M. Peipher advanced to third.
Jack Pistner,flied out to cf (3-2 BKBBK).
Liam Gregory,grounded out to 2b (3-2 BBKSB); M. Peipher advanced to second.
Jack Pistner,singled through the left side (0-1 K); M. Seibert advanced to second.
Matt Nichols,pinch ran for A. Kirby.
Matt Nichols,to lf.
Jack Pistner,reached on a fielder's choice (1-0 B); K. Miller out at second 1b to ss.
Matt Nichols,struck out swinging (1-2 FBKS).
Jack Pistner,walked; D. Preziuso advanced to third on a wild pitch.
Jack Pistner,tripled to center field.
Jack Pistner,walked; D. Preziuso advanced to second.
Jack Pistner,walked; D. Preziuso advanced to second; J. McCloskey advanced to third.
Bruno Spadafora,to p for Masteralexis.
Connor Stewart,to p for A. Dadio.
Jack Pistner,"homered to right field, 2 RBI; D. Preziuso scored."
Jack Pistner,"doubled down the rf line, RBI; D. Preziuso scored."
Jack Pistner,walked.
Jack Pistner,"out at first c to 2b to ss to 1b, caught stealing; D. Preziuso scored on the throw."
Aidan Brusey,to p for Wilkie-Visci.
Matt Nichols,to lf for D. Preziuso.
Robert Murphy,to 3b for A. Kirby.
Jack Pistner,grounded out to 2b (0-0); M. Seibert advanced to second.
Liam Gregory,struck out looking (2-2 KBKBFK).
Jack Pistner,grounded out to 2b (1-0 B).
Liam Gregory,grounded out to 2b (1-2 BFK).
Ryan Wootten,to p for J. Wheedon.
Jack Pistner,struck out swinging (2-2 BFFFBFFFS).
Matt Nichols,to lf for D. Preziuso.
Brendan Laqui,to c for A. Kirby.
Jack Pistner,grounded out to 1b unassisted (3-1 BBBK).
Jack Pistner,reached on a fielder's choice (0-1 F); D. Preziuso out at second 1b to ss.
Jack Pistner,"singled to right field, RBI (2-1 BSB); D. Preziuso scored."
Matt Nichols,to lf for D. Preziuso.
Matt Nichols,singled to shortstop (2-1 SBB).
Jack Pistner,flied out to lf (0-2 KSF).
Matt Nichols,reached on a fielder's choice (0-2 KK); J. McCloskey out at second ss to 2b.
Jack Pistner,walked (3-1 BBKBB).
Jack Pistner,stole second.
Matt Nichols,struck out swinging (1-2 SFBS).
Jack Pistner,singled to center field (2-0 BB).
Jack Pistner,advanced to second on a wild pitch.
Jack Pistner,advanced to third on a wild pitch.
Connor Stewart,to p for A. Dadio.
Zach Klein,pinch ran for M. Peipher.
Zach Klein,advanced to second on a wild pitch.
Robert Murphy,to 3b for Z. Klein.
Jack Pistner,walked (3-1 KBBBB); K. Miller advanced to second.
Jack Pistner,walked (3-2 BKFBBB).
Matt Nichols,to lf for E. Ajewole.
Jack Pistner,struck out looking (1-2 FBSK).
Matt Nichols,walked (3-2 FFBBBB); M. Levant advanced to second; P. Toothman advanced to third.
Matt Nichols,"stole second, advanced to third on a throwing error by c; M. Levant stole third, scored on the error."
Jack Pistner,flied out to cf (1-0 B).
Matt Nichols,flied out to cf (1-2 BFF).
Jack Pistner,fouled out to 3b (0-0).
Bruno Spadafora,to p for Masteralexis.
Connor Stewart,to p for B. Spadafora.
Jack Pistner,singled to right field (0-2 SS); P. Toothman advanced to second.
Matt Nichols,walked (3-2 SBBKBB).
Liam Gregory,pinch hit for J. McCloskey.
Liam Gregory,flied out to lf to left center (0-1 K).
Jack Burke,to lf for T. Neels.
Matt Nichols,to rf.
Jack Pistner,struck out swinging (0-2 FSS).
Jack Burke,flied out to lf (2-2 BBSF).
Matt Nichols,singled to left center (2-2 BBKFF).
Matt Nichols,stole second.
Matt Nichols,stole third.
Aidan Brusey,to p for C. Stewart.
Jack Pistner,singled to first base (1-0 B).
Aidan Brusey,pinch hit for A. Kirby.
Aidan Brusey,reached on a fielder's choice to third base (3-2 KBBFB); J. Pistner out at second 3b to 2b.
Jack Burke,grounded out to ss (0-0).
Robert Murphy,to ss for J. Pistner.
Zach Klein,to rf for M. Seibert.
Matt Nichols,to cf.
Matt Nichols,flied out to lf (0-1 S).
Brendan Laqui,pinch hit for B. Anderson.
Brendan Laqui,flied out to rf (1-1 BS).
Brendan Laqui,to c.
Robert Murphy,doubled to right field (2-2 BFBK).
Robert Murphy,advanced to third on a wild pitch.
Zach Klein,singled to left field (1-2 KSB); A. Angulo advanced to second.
Jack Burke,flied out to rf (1-1 BK).
Tyler Hillson,to p for P. Stasko.
Sean Stites,pinch hit for M. Nichols.
Sean Stites,grounded out to 3b (1-2 SKB).
Jack Pistner,reached first on a fielding error by p.
Liam Gregory,"grounded out to 2b, RBI; P. Toothman scored, unearned."
Matt Nichols,flied out to cf.
Jack Pistner,walked.
Liam Gregory,"singled to third base, bunt; M. Levant advanced to second."
Matt Nichols,out on batter's interference.
Jack Pistner,out at first 1b to p.
Liam Gregory,hit by pitch; P. Toothman advanced to second.
Liam Gregory,stole second; P. Toothman out at home c to 2b to c.
Ryan Wootten,to p for A. Dadio.
Jack Pistner,walked; K. Miller advanced to second.
Aidan Brusey,to p for R. Wootten.
Jack Burke,pinch hit for L. Gregory.
Jack Burke,hit by pitch.
Jack Pistner,struck out looking.
Robert Murphy,to 3b for A. Kirby.
Jack Burke,to lf.
Jack Pistner,doubled to left center (0-1 K).
Connor Stewart,to p for B. Leighton.
Jack Pistner,struck out looking (2-2 BBSKK).
Jack Pistner,grounded out to 1b unassisted (0-0).
Jack Burke,to 2b for D. Preziuso.
Matt Nichols,to lf for P. Toothman.
Robert Murphy,to ss for M. Levant.
Jack Burke,singled to third base (0-0).
Liam Gregory,pinch hit for K. Miller.
Liam Gregory,singled to left field (0-1 S); J. Burke advanced to second.
Aidan Brusey,pinch hit for M. Peipher.
Aidan Brusey,grounded out to 2b (0-0).
Liam Gregory,to lf.
Matt Nichols,to cf.
Tyler Hillson,to p for A. Weinbrum.
Matt Nichols,singled through the left side (0-0).
Robert Murphy,singled to right center (3-2 KKBBFB); M. Nichols advanced to third.
Robert Murphy,advanced to second; M. Nichols scored on a wild pitch.
Jack Burke,"doubled to right center, RBI (2-2 SSBFB); R. Murphy scored."
Liam Gregory,grounded out to 1b unassisted (2-1 BBK).
Jack Pistner,"singled up the middle, RBI; D. Preziuso scored."
Jack Pistner,stole second.
Jack Pistner,grounded out to 2b.
Bruno Spadafora,to p for A. Dadio.
Jack Pistner,grounded out to 2b.
Matt Nichols,to rf for E. Ajewole.
Jack Pistner,"reached on a dropped fly by lf, advanced to second."
Matt Nichols,"doubled to left field; P. Toothman advanced to third, out at home lf to 3b to c."
Zach Klein,pinch ran for J. McCloskey.
Jack Pistner,"flied out to cf, SF, RBI; D. Preziuso scored."
Jack Burke,pinch ran for M. Peipher.
Jack Pistner,grounded out to 2b; K. Miller advanced to third.
Jack Pistner,struck out looking.
Ryan Wootten,to p for J. Wheedon.
Jack Pistner,struck out swinging.
Jack Pistner,singled through the right side; K. Miller advanced to second.
Jack Pistner,advanced to second; K. Miller advanced to third on a wild pitch.
Jack Pistner,flied out to lf to left center.
Henry Smith,singled to right center (1-1 BS); Davis advanced to third.
Jack Pistner,flied out to lf (2-2 KBBK).
Matt Nichols,flied out to rf to right center (2-1 BBK).
Henry Smith,popped up to ss (0-1 F).
Jack Pistner,struck out swinging (2-2 BFBFS).
Liam Gregory,pinch hit for A. Kirby.
Liam Gregory,struck out swinging (2-2 BBSFS).
Matt Nichols,grounded out to 1b unassisted (1-1 BK); M. Levant advanced to second.
Connor Stewart,to p for Wilkie-Visci.
Henry Smith,flied out to lf (0-1 K).
Jack Pistner,reached on a fielder's choice to first base (0-2 KFF); K. Miller out at second 1b to ss; D. Preziuso advanced to third.
Henry Smith,reached on catcher's interference (0-2 KF); Hubinger advanced to second.
Brendan Laqui,to c for B. Anderson.
Matt Nichols,singled through the left side (2-2 KBSB); M. Levant advanced to second.
Aidan Brusey,pinch hit for B. Laqui.
Aidan Brusey,struck out looking (1-2 SKBK).
Jack Pistner,"singled to right center, RBI (1-0 B); K. Miller advanced to third; D. Preziuso scored."
Jack Burke,pinch ran for P. Toothman.
